Region,Date,NewCases,Humidity_x,PopulationDensity,OutbreakRisk,Temperature,Humidity_y,Rainfall
Bengaluru,2023-01-16,130,30,19000,1,18,30,9.4
Hyderabad,2023-01-16,67,64,12000,0,29,64,0
Ahmedabad,2023-01-16,53,37,10000,0,38,37,0.2
Pune,2023-01-16,183,67,11000,0,19,67,3.9
Jaipur,2023-01-16,67,20,8000,0,21,20,3.2
Lucknow,2023-01-16,76,62,9000,0,12,62,1.5
Nagpur,2023-01-16,174,25,7500,0,17,25,1.5
Indore,2023-01-16,93,62,7000,0,32,62,0.2
Bhopal,2023-01-16,46,61,6500,0,10,61,1.2
Surat,2023-01-16,116,61,9500,0,22,61,0.6
Vadodara,2023-01-16,187,53,7800,0,19,53,1.2
Coimbatore,2023-01-16,63,46,8500,0,27,46,3.0
Kochi,2023-01-16,39,56,9200,0,22,56,5.6
Thiruvananthapuram,2023-01-16,170,62,8800,0,24,62,3.0
Visakhapatnam,2023-01-16,129,70,8000,1,34,70,5.2
Vijayawada,2023-01-16,61,47,7600,0,26,47,8.0
Guwahati,2023-01-16,246,66,6000,0,23,66,8.4
Patna,2023-01-16,79,61,8200,0,14,61,2.7
Ranchi,2023-01-16,343,76,5500,1,15,76,6.6
Bhubaneswar,2023-01-16,134,57,7000,1,30,57,8.8
Raipur,2023-01-16,91,20,6200,0,24,20,3.3
Chandigarh,2023-01-16,29,43,9800,0,24,43,1.6
Dehradun,2023-01-16,210,47,7200,0,4,47,2.5
Shimla,2023-01-16,142,59,5000,0,5,59,8.2
Srinagar,2023-01-16,217,32,6500,0,1,32,8.7
Jammu,2023-01-16,54,49,7800,0,20,49,3.3
Goa,2023-01-16,89,48,2500,0,20,48,10.8
Mangalore,2023-01-16,220,65,6800,0,14,65,10.9
Mysore,2023-01-16,192,54,7500,0,29,54,1.3
Pondicherry,2023-01-16,70,64,8000,0,19,64,11.7
Madurai,2023-01-16,247,69,7200,1,31,69,8.0
Mumbai,2023-01-17,33,51,20000,0,24,51,0.5
Delhi,2023-01-17,182,71,15000,1,21,71,4.5
Chennai,2023-01-17,136,66,18000,0,29,66,1.8
Kolkata,2023-01-17,413,71,17000,1,26,71,19.3
Bengaluru,2023-01-17,91,28,19000,1,24,28,5.3
Hyderabad,2023-01-17,126,48,12000,0,13,48,2.3
Ahmedabad,2023-01-17,180,55,10000,0,18,55,2.8
Pune,2023-01-17,83,29,11000,0,24,29,4.2
Jaipur,2023-01-17,72,40,8000,0,17,40,2.6
Lucknow,2023-01-17,146,20,9000,0,11,20,2.9
Nagpur,2023-01-17,59,52,7500,0,39,52,0
Indore,2023-01-17,184,64,7000,0,12,64,2.3
Bhopal,2023-01-17,43,37,6500,0,18,37,0
Surat,2023-01-17,149,38,9500,0,18,38,4.5
Vadodara,2023-01-17,28,68,7800,0,19,68,0.4
Coimbatore,2023-01-17,149,46,8500,0,22,46,0
Kochi,2023-01-17,136,47,9200,0,18,47,5.9
Thiruvananthapuram,2023-01-17,174,60,8800,0,25,60,1.8
Visakhapatnam,2023-01-17,99,66,8000,0,32,66,0.1
Vijayawada,2023-01-17,155,33,7600,1,31,33,7.2
Guwahati,2023-01-17,92,65,6000,0,18,65,11.9
Patna,2023-01-17,168,63,8200,0,27,63,5.5
Ranchi,2023-01-17,187,70,5500,1,22,70,6.3
Bhubaneswar,2023-01-17,43,69,7000,0,17,69,8.1
Raipur,2023-01-17,126,71,6200,0,16,71,4.0
Chandigarh,2023-01-17,119,20,9800,0,8,20,0
Dehradun,2023-01-17,150,56,7200,0,21,56,0
Shimla,2023-01-17,208,68,5000,0,0,68,7.0
Srinagar,2023-01-17,263,36,6500,0,0,36,0.7
Jammu,2023-01-17,127,54,7800,0,11,54,1.3
Goa,2023-01-17,158,59,2500,0,19,59,8.1
Mangalore,2023-01-17,154,50,6800,0,28,50,0.7
Mysore,2023-01-17,212,40,7500,0,27,40,9.4
Pondicherry,2023-01-17,165,52,8000,0,26,52,2.8
Madurai,2023-01-17,142,42,7200,0,30,42,3.7
Mumbai,2023-01-18,77,74,20000,1,27,74,6.1
Delhi,2023-01-18,181,54,15000,1,40,54,3.3
Chennai,2023-01-18,235,44,18000,1,27,44,10.4
Kolkata,2023-01-18,387,49,17000,1,31,49,0
Bengaluru,2023-01-18,59,32,19000,1,30,32,4.0
Hyderabad,2023-01-18,83,50,12000,1,23,50,6.7
Ahmedabad,2023-01-18,55,20,10000,0,20,20,0.2
Pune,2023-01-18,133,53,11000,0,17,53,3.5
Jaipur,2023-01-18,65,41,8000,0,24,41,1.1
Lucknow,2023-01-18,119,61,9000,0,34,61,0
Nagpur,2023-01-18,96,20,7500,0,17,20,0.9
Indore,2023-01-18,238,40,7000,0,25,40,2.0
Bhopal,2023-01-18,94,28,6500,0,22,28,1.2
Surat,2023-01-18,154,22,9500,0,27,22,2.2
Vadodara,2023-01-18,192,29,7800,0,22,29,2.1
Coimbatore,2023-01-18,236,62,8500,0,16,62,0
Kochi,2023-01-18,149,56,9200,0,25,56,4.8
Thiruvananthapuram,2023-01-18,59,67,8800,0,18,67,4.0
Visakhapatnam,2023-01-18,125,73,8000,1,23,73,5.1
Vijayawada,2023-01-18,99,32,7600,0,24,32,6.3
Guwahati,2023-01-18,174,47,6000,0,22,47,9.4
Patna,2023-01-18,138,47,8200,0,30,47,4.0
Ranchi,2023-01-18,99,32,5500,0,12,32,6.5
Bhubaneswar,2023-01-18,172,52,7000,0,15,52,11.3
Raipur,2023-01-18,249,20,6200,1,33,20,5.1
Chandigarh,2023-01-18,158,51,9800,0,11,51,2.5
Dehradun,2023-01-18,58,41,7200,0,18,41,2.6
Shimla,2023-01-18,117,45,5000,0,0,45,0
Srinagar,2023-01-18,209,23,6500,0,15,23,0
Jammu,2023-01-18,210,68,7800,0,2,68,2.9
Goa,2023-01-18,182,73,2500,1,25,73,8.8
Mangalore,2023-01-18,50,71,6800,1,19,71,10.4
Mysore,2023-01-18,30,35,7500,0,15,35,1.9
Pondicherry,2023-01-18,44,58,8000,0,22,58,7.2
Madurai,2023-01-18,163,53,7200,0,29,53,9.8
Mumbai,2023-01-19,40,53,20000,1,28,53,6.3
Delhi,2023-01-19,73,56,15000,0,17,56,0
Chennai,2023-01-19,193,71,18000,1,19,71,4.3
Kolkata,2023-01-19,114,52,17000,1,32,52,13.5
Bengaluru,2023-01-19,133,49,19000,1,15,49,11.1
Hyderabad,2023-01-19,67,38,12000,0,18,38,0.1
Ahmedabad,2023-01-19,89,52,10000,0,22,52,1.2
Pune,2023-01-19,65,48,11000,0,18,48,1.0
Jaipur,2023-01-19,84,37,8000,0,32,37,1.8
Lucknow,2023-01-19,40,48,9000,0,27,48,4.5
Nagpur,2023-01-19,152,75,7500,1,37,75,0
Indore,2023-01-19,152,51,7000,0,18,51,0
Bhopal,2023-01-19,137,60,6500,0,10,60,1.0
Surat,2023-01-19,206,64,9500,0,32,64,3.2
Vadodara,2023-01-19,162,33,7800,0,16,33,1.1
Coimbatore,2023-01-19,82,34,8500,0,21,34,1.3
Kochi,2023-01-19,61,63,9200,0,20,63,5.2
Thiruvananthapuram,2023-01-19,228,60,8800,0,23,60,0
Visakhapatnam,2023-01-19,423,70,8000,1,30,70,7.1
Vijayawada,2023-01-19,63,60,7600,1,34,60,5.3
Guwahati,2023-01-19,112,61,6000,0,25,61,9.3
Patna,2023-01-19,138,39,8200,0,25,39,6.2
Ranchi,2023-01-19,131,53,5500,0,31,53,3.4
Bhubaneswar,2023-01-19,56,47,7000,0,18,47,10.3
Raipur,2023-01-19,278,70,6200,0,25,70,0
Chandigarh,2023-01-19,45,32,9800,0,14,32,1.6
Dehradun,2023-01-19,274,43,7200,0,6,43,3.7
Shimla,2023-01-19,152,51,5000,0,15,51,3.2
Srinagar,2023-01-19,151,50,6500,0,0,50,5.7
Jammu,2023-01-19,233,55,7800,0,29,55,3.5
Goa,2023-01-19,234,70,2500,1,28,70,6.4
Mangalore,2023-01-19,224,45,6800,0,18,45,16.2
Mysore,2023-01-19,134,43,7500,0,19,43,1.4
Pondicherry,2023-01-19,88,54,8000,0,19,54,11.2
Madurai,2023-01-19,117,47,7200,0,19,47,11.1
Mumbai,2023-01-20,286,49,20000,0,26,49,0.3
Delhi,2023-01-20,81,64,15000,1,37,64,3.8
Chennai,2023-01-20,115,63,18000,1,23,63,10.0
Kolkata,2023-01-20,338,74,17000,1,19,74,17.3
Bengaluru,2023-01-20,104,60,19000,1,31,60,6.2
Hyderabad,2023-01-20,201,65,12000,0,21,65,0
Ahmedabad,2023-01-20,55,65,10000,0,38,65,1.8
Pune,2023-01-20,366,76,11000,1,32,76,0.2
Jaipur,2023-01-20,250,32,8000,0,31,32,2.7
Lucknow,2023-01-20,71,73,9000,0,26,73,0.4
Nagpur,2023-01-20,254,26,7500,0,38,26,2.8
Indore,2023-01-20,82,47,7000,0,31,47,0
Bhopal,2023-01-20,94,37,6500,0,28,37,1.0
Surat,2023-01-20,246,63,9500,0,28,63,2.5
Vadodara,2023-01-20,64,47,7800,0,21,47,2.8
Coimbatore,2023-01-20,115,29,8500,0,18,29,7.6
Kochi,2023-01-20,140,48,9200,0,26,48,13.9
Thiruvananthapuram,2023-01-20,116,61,8800,0,26,61,14.7
Visakhapatnam,2023-01-20,159,45,8000,0,27,45,4.3
Vijayawada,2023-01-20,115,46,7600,0,27,46,2.9
Guwahati,2023-01-20,214,66,6000,0,11,66,5.2
Patna,2023-01-20,207,38,8200,0,17,38,3.0
Ranchi,2023-01-20,54,27,5500,0,14,27,0
Bhubaneswar,2023-01-20,147,52,7000,0,22,52,1.7
Raipur,2023-01-20,52,32,6200,0,14,32,3.3
Chandigarh,2023-01-20,63,60,9800,0,15,60,0
Dehradun,2023-01-20,233,70,7200,0,18,70,2.3
Shimla,2023-01-20,173,62,5000,0,0,62,0.7
Srinagar,2023-01-20,219,42,6500,0,0,42,0
Jammu,2023-01-20,128,64,7800,0,4,64,5.3
Goa,2023-01-20,152,62,2500,0,19,62,1.0
Mangalore,2023-01-20,233,61,6800,0,17,61,0
Mysore,2023-01-20,115,42,7500,0,23,42,2.9
Pondicherry,2023-01-20,144,69,8000,0,26,69,7.3
Madurai,2023-01-20,105,57,7200,0,33,57,1.1
Mumbai,2023-01-21,166,56,20000,1,30,56,2.8
Delhi,2023-01-21,216,65,15000,1,37,65,1.7
Chennai,2023-01-21,85,43,18000,1,24,43,10.2
Kolkata,2023-01-21,106,55,17000,1,15,55,14.2
Bengaluru,2023-01-21,86,59,19000,1,23,59,14.3
Hyderabad,2023-01-21,135,20,12000,0,18,20,3.2
Ahmedabad,2023-01-21,162,37,10000,0,29,37,2.4
Pune,2023-01-21,50,57,11000,1,20,57,5.8
Jaipur,2023-01-21,101,62,8000,0,37,62,0.7
Lucknow,2023-01-21,127,33,9000,0,37,33,2.4
Nagpur,2023-01-21,128,43,7500,0,31,43,2.1
Indore,2023-01-21,226,40,7000,0,32,40,1.7
Bhopal,2023-01-21,163,39,6500,0,24,39,2.7
Surat,2023-01-21,281,71,9500,1,32,71,0
Vadodara,2023-01-21,56,30,7800,0,23,30,3.5
Coimbatore,2023-01-21,45,47,8500,0,22,47,13.0
Kochi,2023-01-21,199,51,9200,0,18,51,0
Thiruvananthapuram,2023-01-21,173,56,8800,0,28,56,19.4
Visakhapatnam,2023-01-21,300,77,8000,1,26,77,7.8
Vijayawada,2023-01-21,274,71,7600,0,26,71,3.2
Guwahati,2023-01-21,114,47,6000,0,19,47,10.0
Patna,2023-01-21,55,33,8200,0,20,33,5.4
Ranchi,2023-01-21,133,66,5500,0,32,66,0.0
Bhubaneswar,2023-01-21,241,58,7000,0,17,58,2.4
Raipur,2023-01-21,81,40,6200,0,15,40,3.3
Chandigarh,2023-01-21,260,56,9800,0,13,56,1.1
Dehradun,2023-01-21,209,57,7200,0,0,57,0
Shimla,2023-01-21,167,56,5000,0,0,56,8.2
Srinagar,2023-01-21,68,43,6500,0,12,43,0.9
Jammu,2023-01-21,237,41,7800,0,9,41,4.1
Goa,2023-01-21,58,48,2500,0,16,48,3.0
Mangalore,2023-01-21,249,76,6800,1,23,76,14.8
Mysore,2023-01-21,34,47,7500,0,22,47,5.5
Pondicherry,2023-01-21,198,54,8000,0,25,54,0.3
Madurai,2023-01-21,98,64,7200,0,21,64,5.4
Mumbai,2023-01-22,94,60,20000,0,22,60,3.8
Delhi,2023-01-22,129,29,15000,1,30,29,2.2
Chennai,2023-01-22,121,49,18000,1,20,49,13.0
Kolkata,2023-01-22,114,64,17000,0,21,64,22.7
Bengaluru,2023-01-22,161,57,19000,1,19,57,5.5
Hyderabad,2023-01-22,153,25,12000,1,29,25,5.8
Ahmedabad,2023-01-22,259,71,10000,1,37,71,1.9
Pune,2023-01-22,86,36,11000,0,19,36,3.1
Jaipur,2023-01-22,260,20,8000,0,27,20,2.6
Lucknow,2023-01-22,73,24,9000,0,24,24,1.2
Nagpur,2023-01-22,43,40,7500,0,25,40,0
Indore,2023-01-22,93,41,7000,0,19,41,1.1
Bhopal,2023-01-22,251,69,6500,0,20,69,4.0
Surat,2023-01-22,219,71,9500,1,31,71,1.4
Vadodara,2023-01-22,88,45,7800,0,29,45,0.8
Coimbatore,2023-01-22,139,42,8500,0,23,42,1.5
Kochi,2023-01-22,96,55,9200,0,25,55,9.1
Thiruvananthapuram,2023-01-22,153,52,8800,0,28,52,3.1
Visakhapatnam,2023-01-22,187,70,8000,1,18,70,5.7
Vijayawada,2023-01-22,209,31,7600,0,18,31,3.7
Guwahati,2023-01-22,255,50,6000,0,26,50,1.0
Patna,2023-01-22,57,61,8200,0,18,61,5.9
Ranchi,2023-01-22,48,60,5500,0,32,60,0.1
Bhubaneswar,2023-01-22,243,45,7000,0,17,45,0.7
Raipur,2023-01-22,69,67,6200,0,17,67,0
Chandigarh,2023-01-22,133,20,9800,0,19,20,0
Dehradun,2023-01-22,116,64,7200,0,11,64,2.9
Shimla,2023-01-22,137,37,5000,0,0,37,3.5
Srinagar,2023-01-22,57,50,6500,0,0,50,4.9
Jammu,2023-01-22,88,56,7800,0,11,56,3.5
Goa,2023-01-22,55,68,2500,0,20,68,7.2
Mangalore,2023-01-22,173,44,6800,0,21,44,7.1
Mysore,2023-01-22,112,67,7500,0,18,67,4.4
Pondicherry,2023-01-22,72,72,8000,0,20,72,0.8
Madurai,2023-01-22,157,52,7200,1,33,52,5.4
Mumbai,2023-01-23,59,45,20000,1,20,45,10.0
Delhi,2023-01-23,173,57,15000,0,27,57,0.3
Chennai,2023-01-23,293,45,18000,1,29,45,5.7
Kolkata,2023-01-23,79,56,17000,1,25,56,12.1
Bengaluru,2023-01-23,156,73,19000,1,16,73,11.3
Hyderabad,2023-01-23,147,70,12000,1,13,70,6.8
Ahmedabad,2023-01-23,63,38,10000,0,36,38,1.1
Pune,2023-01-23,167,47,11000,0,25,47,0
Jaipur,2023-01-23,104,55,8000,0,28,55,1.2
Lucknow,2023-01-23,88,29,9000,0,28,29,0
Nagpur,2023-01-23,330,70,7500,0,17,70,2.9
Indore,2023-01-23,80,53,7000,0,28,53,0
Bhopal,2023-01-23,242,22,6500,0,13,22,2.3
Surat,2023-01-23,129,38,9500,0,26,38,0
Vadodara,2023-01-23,145,27,7800,0,17,27,0
Coimbatore,2023-01-23,120,57,8500,0,17,57,2.5
Kochi,2023-01-23,233,58,9200,0,21,58,14.9
Thiruvananthapuram,2023-01-23,196,49,8800,0,23,49,16.6
Visakhapatnam,2023-01-23,222,50,8000,0,19,50,6.8
Vijayawada,2023-01-23,93,21,7600,1,31,21,7.7
Guwahati,2023-01-23,138,58,6000,0,29,58,4.4
Patna,2023-01-23,77,32,8200,0,22,32,0
Ranchi,2023-01-23,130,51,5500,1,32,51,8.1
Bhubaneswar,2023-01-23,169,39,7000,0,33,39,4.9
Raipur,2023-01-23,103,51,6200,0,16,51,0
Chandigarh,2023-01-23,172,25,9800,0,20,25,3.2
Dehradun,2023-01-23,64,30,7200,0,24,30,0
Shimla,2023-01-23,144,70,5000,0,14,70,3.9
Srinagar,2023-01-23,68,62,6500,0,13,62,7.3
Jammu,2023-01-23,93,26,7800,0,35,26,4.2
Goa,2023-01-23,137,69,2500,0,19,69,10.5
Mangalore,2023-01-23,152,62,6800,0,25,62,11.7
Mysore,2023-01-23,47,56,7500,0,21,56,12.1
Pondicherry,2023-01-23,44,70,8000,1,25,70,9.5
Madurai,2023-01-23,157,46,7200,0,21,46,12.1
Mumbai,2023-01-24,92,70,20000,1,27,70,0.9
Delhi,2023-01-24,168,49,15000,0,23,49,1.9
Chennai,2023-01-24,174,64,18000,0,22,64,2.5
Kolkata,2023-01-24,197,46,17000,0,21,46,2.2
Bengaluru,2023-01-24,169,36,19000,1,26,36,12.0
Hyderabad,2023-01-24,187,65,12000,1,36,65,2.1
Ahmedabad,2023-01-24,271,50,10000,0,28,50,2.3
Pune,2023-01-24,258,37,11000,1,24,37,7.0
Jaipur,2023-01-24,188,49,8000,0,22,49,1.0
Lucknow,2023-01-24,151,53,9000,0,23,53,1.3
Nagpur,2023-01-24,92,42,7500,0,29,42,2.1
Indore,2023-01-24,52,25,7000,0,30,25,0.7
Bhopal,2023-01-24,202,58,6500,0,29,58,0
Surat,2023-01-24,92,51,9500,0,25,51,0.9
Vadodara,2023-01-24,41,33,7800,0,23,33,0.3
Coimbatore,2023-01-24,83,40,8500,0,19,40,13.0
Kochi,2023-01-24,170,64,9200,0,21,64,0
Thiruvananthapuram,2023-01-24,169,61,8800,0,20,61,10.7
Visakhapatnam,2023-01-24,131,49,8000,0,18,49,0
Vijayawada,2023-01-24,42,52,7600,1,36,52,7.2
Guwahati,2023-01-24,60,70,6000,1,16,70,9.9
Patna,2023-01-24,222,67,8200,0,17,67,0.1
Ranchi,2023-01-24,216,46,5500,0,8,46,1.3
Bhubaneswar,2023-01-24,221,41,7000,1,30,41,8.3
Raipur,2023-01-24,125,40,6200,0,15,40,2.9
Chandigarh,2023-01-24,213,70,9800,0,18,70,2.2
Dehradun,2023-01-24,210,71,7200,0,11,71,3.1
Shimla,2023-01-24,89,43,5000,0,14,43,1.6
Srinagar,2023-01-24,121,67,6500,0,5,67,8.2
Jammu,2023-01-24,234,28,7800,0,16,28,2.8
Goa,2023-01-24,117,53,2500,0,20,53,3.0
Mangalore,2023-01-24,306,60,6800,0,21,60,16.4
Mysore,2023-01-24,165,52,7500,0,18,52,10.2
Pondicherry,2023-01-24,198,52,8000,0,23,52,9.6
Madurai,2023-01-24,96,41,7200,0,29,41,6.9
Mumbai,2023-01-25,226,69,20000,1,25,69,8.8
Delhi,2023-01-25,162,44,15000,0,26,44,0
Chennai,2023-01-25,299,48,18000,0,22,48,2.3
Kolkata,2023-01-25,32,45,17000,0,26,45,4.9
Bengaluru,2023-01-25,149,64,19000,0,21,64,0.4
Hyderabad,2023-01-25,66,27,12000,0,27,27,3.3
Ahmedabad,2023-01-25,199,73,10000,1,32,73,0.8
Pune,2023-01-25,81,41,11000,0,25,41,3.4
Jaipur,2023-01-25,80,40,8000,0,30,40,0
Lucknow,2023-01-25,105,20,9000,0,25,20,0.1
Nagpur,2023-01-25,119,62,7500,0,21,62,2.7
Indore,2023-01-25,218,20,7000,0,17,20,2.9
Bhopal,2023-01-25,294,34,6500,0,15,34,1.2
Surat,2023-01-25,106,50,9500,0,25,50,0
Vadodara,2023-01-25,100,41,7800,0,13,41,2.9
Coimbatore,2023-01-25,97,34,8500,0,23,34,7.3
Kochi,2023-01-25,67,47,9200,0,29,47,0
Thiruvananthapuram,2023-01-25,113,70,8800,0,27,70,16.0
Visakhapatnam,2023-01-25,199,65,8000,0,25,65,0
Vijayawada,2023-01-25,48,22,7600,0,21,22,1.2
Guwahati,2023-01-25,105,57,6000,0,19,57,9.2
Patna,2023-01-25,116,37,8200,0,15,37,6.7
Ranchi,2023-01-25,192,37,5500,0,12,37,6.4
Bhubaneswar,2023-01-25,157,39,7000,0,22,39,7.9
Raipur,2023-01-25,33,48,6200,0,24,48,0
Chandigarh,2023-01-25,59,55,9800,0,21,55,0.1
Dehradun,2023-01-25,169,51,7200,0,15,51,3.7
Shimla,2023-01-25,64,45,5000,0,1,45,0
Srinagar,2023-01-25,147,59,6500,0,0,59,9.8
Jammu,2023-01-25,260,44,7800,0,25,44,1.3
Goa,2023-01-25,229,61,2500,0,27,61,1.6
Mangalore,2023-01-25,92,69,6800,0,22,69,1.3
Mysore,2023-01-25,254,30,7500,0,16,30,6.2
Pondicherry,2023-01-25,147,66,8000,0,27,66,7.2
Madurai,2023-01-25,169,46,7200,0,25,46,0.5
Mumbai,2023-01-26,61,46,20000,0,20,46,2.3
Delhi,2023-01-26,178,31,15000,1,36,31,1.9
Chennai,2023-01-26,111,62,18000,0,28,62,1.8
Kolkata,2023-01-26,238,69,17000,1,27,69,9.5
Bengaluru,2023-01-26,121,39,19000,0,23,39,3.9
Hyderabad,2023-01-26,373,75,12000,1,35,75,5.0
Ahmedabad,2023-01-26,92,31,10000,0,36,31,1.1
Pune,2023-01-26,210,34,11000,0,16,34,4.2
Jaipur,2023-01-26,266,59,8000,0,14,59,4.8
Lucknow,2023-01-26,54,21,9000,0,29,21,3.0
Nagpur,2023-01-26,211,34,7500,0,36,34,1.0
Indore,2023-01-26,92,63,7000,0,29,63,0.6
Bhopal,2023-01-26,152,21,6500,0,31,21,0.3
Surat,2023-01-26,258,59,9500,0,15,59,2.3
Vadodara,2023-01-26,131,64,7800,0,28,64,3.3
Coimbatore,2023-01-26,78,58,8500,0,23,58,9.0
Kochi,2023-01-26,125,46,9200,0,24,46,9.8
Thiruvananthapuram,2023-01-26,37,69,8800,0,23,69,2.1
Visakhapatnam,2023-01-26,171,50,8000,0,29,50,8.2
Vijayawada,2023-01-26,80,54,7600,0,23,54,6.3
Guwahati,2023-01-26,139,57,6000,0,25,57,0
Patna,2023-01-26,144,45,8200,0,17,45,0.2
Ranchi,2023-01-26,132,31,5500,0,10,31,1.3
Bhubaneswar,2023-01-26,51,36,7000,0,27,36,4.2
Raipur,2023-01-26,85,46,6200,0,18,46,1.0
Chandigarh,2023-01-26,46,20,9800,0,29,20,1.0
Dehradun,2023-01-26,169,43,7200,0,15,43,1.9
Shimla,2023-01-26,200,76,5000,1,9,76,8.8
Srinagar,2023-01-26,127,50,6500,0,0,50,7.7
Jammu,2023-01-26,61,60,7800,0,7,60,1.5
Goa,2023-01-26,101,60,2500,0,25,60,12.3
Mangalore,2023-01-26,71,74,6800,1,19,74,7.9
Mysore,2023-01-26,136,31,7500,0,29,31,4.9
Pondicherry,2023-01-26,270,60,8000,0,24,60,7.7
Madurai,2023-01-26,109,53,7200,1,34,53,13.1
Mumbai,2023-01-27,51,59,20000,1,21,59,5.7
Delhi,2023-01-27,76,51,15000,0,23,51,0
Chennai,2023-01-27,233,63,18000,1,19,63,10.9
Kolkata,2023-01-27,142,57,17000,0,19,57,17.7
Bengaluru,2023-01-27,271,66,19000,1,19,66,6.7
Hyderabad,2023-01-27,137,28,12000,0,17,28,2.4
Ahmedabad,2023-01-27,89,20,10000,0,20,20,0.4
Pune,2023-01-27,88,28,11000,0,20,28,0.3
Jaipur,2023-01-27,206,20,8000,0,29,20,3.1
Lucknow,2023-01-27,90,68,9000,0,25,68,3.2
Nagpur,2023-01-27,60,46,7500,0,31,46,2.1
Indore,2023-01-27,149,59,7000,0,24,59,1.4
Bhopal,2023-01-27,174,46,6500,0,35,46,1.5
Surat,2023-01-27,146,73,9500,0,18,73,0
Vadodara,2023-01-27,236,40,7800,0,16,40,0.2
Coimbatore,2023-01-27,248,35,8500,1,31,35,10.1
Kochi,2023-01-27,108,48,9200,0,25,48,12.4
Thiruvananthapuram,2023-01-27,152,51,8800,0,17,51,6.1
Visakhapatnam,2023-01-27,75,49,8000,1,31,49,8.1
Vijayawada,2023-01-27,174,69,7600,0,30,69,3.0
Guwahati,2023-01-27,122,67,6000,0,13,67,13.5
Patna,2023-01-27,160,42,8200,0,17,42,2.5
Ranchi,2023-01-27,51,67,5500,0,19,67,4.1
Bhubaneswar,2023-01-27,124,39,7000,0,31,39,0.8
Raipur,2023-01-27,139,69,6200,0,28,69,1.3
Chandigarh,2023-01-27,147,70,9800,0,6,70,2.1
Dehradun,2023-01-27,66,74,7200,0,12,74,4.1
Shimla,2023-01-27,58,66,5000,0,0,66,3.4
Srinagar,2023-01-27,201,47,6500,0,6,47,5.5
Jammu,2023-01-27,210,65,7800,0,23,65,1.7
Goa,2023-01-27,103,53,2500,0,21,53,9.7
Mangalore,2023-01-27,148,65,6800,0,22,65,16.7
Mysore,2023-01-27,190,41,7500,0,23,41,7.5
Pondicherry,2023-01-27,123,72,8000,0,20,72,2.8
Madurai,2023-01-27,99,69,7200,0,27,69,16.5
Mumbai,2023-01-28,270,66,20000,0,24,66,0.2
Delhi,2023-01-28,220,73,15000,1,27,73,0.5
Chennai,2023-01-28,94,59,18000,1,19,59,11.1
Kolkata,2023-01-28,51,52,17000,1,32,52,0.7
Bengaluru,2023-01-28,63,23,19000,1,30,23,2.6
Hyderabad,2023-01-28,153,65,12000,1,31,65,5.7
Ahmedabad,2023-01-28,149,29,10000,0,28,29,3.0
Pune,2023-01-28,89,64,11000,0,25,64,4.2
Jaipur,2023-01-28,103,24,8000,0,19,24,3.8
Lucknow,2023-01-28,53,53,9000,0,24,53,3.2
Nagpur,2023-01-28,131,28,7500,0,24,28,3.3
Indore,2023-01-28,51,46,7000,0,10,46,1.4
Bhopal,2023-01-28,60,32,6500,0,22,32,0.6
Surat,2023-01-28,209,62,9500,0,21,62,3.2
Vadodara,2023-01-28,161,32,7800,0,21,32,2.2
Coimbatore,2023-01-28,171,25,8500,0,13,25,3.7
Kochi,2023-01-28,285,60,9200,0,21,60,14.2
Thiruvananthapuram,2023-01-28,108,58,8800,0,23,58,0
Visakhapatnam,2023-01-28,106,59,8000,0,32,59,4.6
Vijayawada,2023-01-28,141,44,7600,0,33,44,0.2
Guwahati,2023-01-28,109,72,6000,0,24,72,0
Patna,2023-01-28,369,73,8200,1,32,73,4.9
Ranchi,2023-01-28,180,52,5500,0,25,52,3.9
Bhubaneswar,2023-01-28,169,70,7000,0,25,70,3.5
Raipur,2023-01-28,137,46,6200,0,40,46,0.3
Chandigarh,2023-01-28,175,62,9800,0,9,62,4.4
Dehradun,2023-01-28,115,39,7200,0,18,39,3.4
Shimla,2023-01-28,219,46,5000,0,13,46,8.4
Srinagar,2023-01-28,90,36,6500,0,0,36,6.7
Jammu,2023-01-28,112,23,7800,0,1,23,0.7
Goa,2023-01-28,125,54,2500,0,15,54,8.4
Mangalore,2023-01-28,247,69,6800,0,18,69,12.8
Mysore,2023-01-28,73,63,7500,0,22,63,4.7
Pondicherry,2023-01-28,256,49,8000,0,25,49,2.3
Madurai,2023-01-28,29,38,7200,0,22,38,18.2
Mumbai,2023-01-29,238,52,20000,1,24,52,11.5
Delhi,2023-01-29,85,51,15000,0,13,51,2.1
Chennai,2023-01-29,240,67,18000,1,30,67,9.4
Kolkata,2023-01-29,233,54,17000,1,25,54,10.4
Bengaluru,2023-01-29,173,47,19000,1,18,47,7.6
Hyderabad,2023-01-29,243,42,12000,0,17,42,2.4
Ahmedabad,2023-01-29,198,26,10000,0,33,26,1.3
Pune,2023-01-29,222,67,11000,0,16,67,0
Jaipur,2023-01-29,120,60,8000,0,14,60,3.3
Lucknow,2023-01-29,93,42,9000,0,22,42,0.6
Nagpur,2023-01-29,66,50,7500,0,15,50,0
Indore,2023-01-29,191,48,7000,0,19,48,2.1
Bhopal,2023-01-29,154,41,6500,0,25,41,0.4
Surat,2023-01-29,209,54,9500,0,28,54,1.2
Vadodara,2023-01-29,119,41,7800,0,17,41,2.8
Coimbatore,2023-01-29,62,45,8500,0,16,45,1.4
Kochi,2023-01-29,91,47,9200,0,29,47,4.3
