Region,Date,NewCases,Humidity,PopulationDensity,OutbreakRisk
Goa,2023-01-20,152,62,2500,0
Mangalore,2023-01-20,233,61,6800,0
Mysore,2023-01-20,115,42,7500,0
Pondicherry,2023-01-20,144,69,8000,0
Madurai,2023-01-20,105,57,7200,0
Mumbai,2023-01-21,166,56,20000,1
Delhi,2023-01-21,216,65,15000,1
Chennai,2023-01-21,85,43,18000,1
Kolkata,2023-01-21,106,55,17000,1
Bengaluru,2023-01-21,86,59,19000,1
Hyderabad,2023-01-21,135,20,12000,0
Ahmedabad,2023-01-21,162,37,10000,0
Pune,2023-01-21,50,57,11000,1
Jaipur,2023-01-21,101,62,8000,0
Lucknow,2023-01-21,127,33,9000,0
Nagpur,2023-01-21,128,43,7500,0
Indore,2023-01-21,226,40,7000,0
Bhopal,2023-01-21,163,39,6500,0
Surat,2023-01-21,281,71,9500,1
Vadodara,2023-01-21,56,30,7800,0
Coimbatore,2023-01-21,45,47,8500,0
Kochi,2023-01-21,199,51,9200,0
Thiruvananthapuram,2023-01-21,173,56,8800,0
Visakhapatnam,2023-01-21,300,77,8000,1
Vijayawada,2023-01-21,274,71,7600,0
Guwahati,2023-01-21,114,47,6000,0
Patna,2023-01-21,55,33,8200,0
Ranchi,2023-01-21,133,66,5500,0
Bhubaneswar,2023-01-21,241,58,7000,0
Raipur,2023-01-21,81,40,6200,0
Chandigarh,2023-01-21,260,56,9800,0
Dehradun,2023-01-21,209,57,7200,0
Shimla,2023-01-21,167,56,5000,0
Srinagar,2023-01-21,68,43,6500,0
Jammu,2023-01-21,237,41,7800,0
Goa,2023-01-21,58,48,2500,0
Mangalore,2023-01-21,249,76,6800,1
Mysore,2023-01-21,34,47,7500,0
Pondicherry,2023-01-21,198,54,8000,0
Madurai,2023-01-21,98,64,7200,0
Mumbai,2023-01-22,94,60,20000,0
Delhi,2023-01-22,129,29,15000,1
Chennai,2023-01-22,121,49,18000,1
Kolkata,2023-01-22,114,64,17000,0
Bengaluru,2023-01-22,161,57,19000,1
Hyderabad,2023-01-22,153,25,12000,1
Ahmedabad,2023-01-22,259,71,10000,1
Pune,2023-01-22,86,36,11000,0
Jaipur,2023-01-22,260,20,8000,0
Lucknow,2023-01-22,73,24,9000,0
Nagpur,2023-01-22,43,40,7500,0
Indore,2023-01-22,93,41,7000,0
Bhopal,2023-01-22,251,69,6500,0
Surat,2023-01-22,219,71,9500,1
Vadodara,2023-01-22,88,45,7800,0
Coimbatore,2023-01-22,139,42,8500,0
Kochi,2023-01-22,96,55,9200,0
Thiruvananthapuram,2023-01-22,153,52,8800,0
Visakhapatnam,2023-01-22,187,70,8000,1
Vijayawada,2023-01-22,209,31,7600,0
Guwahati,2023-01-22,255,50,6000,0
Patna,2023-01-22,57,61,8200,0
Ranchi,2023-01-22,48,60,5500,0
Bhubaneswar,2023-01-22,243,45,7000,0
Raipur,2023-01-22,69,67,6200,0
Chandigarh,2023-01-22,133,20,9800,0
Dehradun,2023-01-22,116,64,7200,0
Shimla,2023-01-22,137,37,5000,0
Srinagar,2023-01-22,57,50,6500,0
Jammu,2023-01-22,88,56,7800,0
Goa,2023-01-22,55,68,2500,0
Mangalore,2023-01-22,173,44,6800,0
Mysore,2023-01-22,112,67,7500,0
Pondicherry,2023-01-22,72,72,8000,0
Madurai,2023-01-22,157,52,7200,1
Mumbai,2023-01-23,59,45,20000,1
Delhi,2023-01-23,173,57,15000,0
Chennai,2023-01-23,293,45,18000,1
Kolkata,2023-01-23,79,56,17000,1
Bengaluru,2023-01-23,156,73,19000,1
Hyderabad,2023-01-23,147,70,12000,1
Ahmedabad,2023-01-23,63,38,10000,0
Pune,2023-01-23,167,47,11000,0
Jaipur,2023-01-23,104,55,8000,0
Lucknow,2023-01-23,88,29,9000,0
Nagpur,2023-01-23,330,70,7500,0
Indore,2023-01-23,80,53,7000,0
Bhopal,2023-01-23,242,22,6500,0
Surat,2023-01-23,129,38,9500,0
Vadodara,2023-01-23,145,27,7800,0
Coimbatore,2023-01-23,120,57,8500,0
Kochi,2023-01-23,233,58,9200,0
Thiruvananthapuram,2023-01-23,196,49,8800,0
Visakhapatnam,2023-01-23,222,50,8000,0
Vijayawada,2023-01-23,93,21,7600,1
Guwahati,2023-01-23,138,58,6000,0
Patna,2023-01-23,77,32,8200,0
Ranchi,2023-01-23,130,51,5500,1
Bhubaneswar,2023-01-23,169,39,7000,0
Raipur,2023-01-23,103,51,6200,0
Chandigarh,2023-01-23,172,25,9800,0
Dehradun,2023-01-23,64,30,7200,0
Shimla,2023-01-23,144,70,5000,0
Srinagar,2023-01-23,68,62,6500,0
Jammu,2023-01-23,93,26,7800,0
Goa,2023-01-23,137,69,2500,0
Mangalore,2023-01-23,152,62,6800,0
Mysore,2023-01-23,47,56,7500,0
Pondicherry,2023-01-23,44,70,8000,1
Madurai,2023-01-23,157,46,7200,0
Mumbai,2023-01-24,92,70,20000,1
Delhi,2023-01-24,168,49,15000,0
Chennai,2023-01-24,174,64,18000,0
Kolkata,2023-01-24,197,46,17000,0
Bengaluru,2023-01-24,169,36,19000,1
Hyderabad,2023-01-24,187,65,12000,1
Ahmedabad,2023-01-24,271,50,10000,0
Pune,2023-01-24,258,37,11000,1
Jaipur,2023-01-24,188,49,8000,0
Lucknow,2023-01-24,151,53,9000,0
Nagpur,2023-01-24,92,42,7500,0
Indore,2023-01-24,52,25,7000,0
Bhopal,2023-01-24,202,58,6500,0
Surat,2023-01-24,92,51,9500,0
Vadodara,2023-01-24,41,33,7800,0
Coimbatore,2023-01-24,83,40,8500,0
Kochi,2023-01-24,170,64,9200,0
Thiruvananthapuram,2023-01-24,169,61,8800,0
Visakhapatnam,2023-01-24,131,49,8000,0
Vijayawada,2023-01-24,42,52,7600,1
Guwahati,2023-01-24,60,70,6000,1
Patna,2023-01-24,222,67,8200,0
Ranchi,2023-01-24,216,46,5500,0
Bhubaneswar,2023-01-24,221,41,7000,1
Raipur,2023-01-24,125,40,6200,0
Chandigarh,2023-01-24,213,70,9800,0
Dehradun,2023-01-24,210,71,7200,0
Shimla,2023-01-24,89,43,5000,0
Srinagar,2023-01-24,121,67,6500,0
Jammu,2023-01-24,234,28,7800,0
Goa,2023-01-24,117,53,2500,0
Mangalore,2023-01-24,306,60,6800,0
Mysore,2023-01-24,165,52,7500,0
Pondicherry,2023-01-24,198,52,8000,0
Madurai,2023-01-24,96,41,7200,0
Mumbai,2023-01-25,226,69,20000,1
Delhi,2023-01-25,162,44,15000,0
Chennai,2023-01-25,299,48,18000,0
Kolkata,2023-01-25,32,45,17000,0
Bengaluru,2023-01-25,149,64,19000,0
Hyderabad,2023-01-25,66,27,12000,0
Ahmedabad,2023-01-25,199,73,10000,1
Pune,2023-01-25,81,41,11000,0
Jaipur,2023-01-25,80,40,8000,0
Lucknow,2023-01-25,105,20,9000,0
Nagpur,2023-01-25,119,62,7500,0
Indore,2023-01-25,218,20,7000,0
Bhopal,2023-01-25,294,34,6500,0
Surat,2023-01-25,106,50,9500,0
Vadodara,2023-01-25,100,41,7800,0
Coimbatore,2023-01-25,97,34,8500,0
Kochi,2023-01-25,67,47,9200,0
Thiruvananthapuram,2023-01-25,113,70,8800,0
Visakhapatnam,2023-01-25,199,65,8000,0
Vijayawada,2023-01-25,48,22,7600,0
Guwahati,2023-01-25,105,57,6000,0
Patna,2023-01-25,116,37,8200,0
Ranchi,2023-01-25,192,37,5500,0
Bhubaneswar,2023-01-25,157,39,7000,0
Raipur,2023-01-25,33,48,6200,0
Chandigarh,2023-01-25,59,55,9800,0
Dehradun,2023-01-25,169,51,7200,0
Shimla,2023-01-25,64,45,5000,0
Srinagar,2023-01-25,147,59,6500,0
Jammu,2023-01-25,260,44,7800,0
Goa,2023-01-25,229,61,2500,0
Mangalore,2023-01-25,92,69,6800,0
Mysore,2023-01-25,254,30,7500,0
Pondicherry,2023-01-25,147,66,8000,0
Madurai,2023-01-25,169,46,7200,0
Mumbai,2023-01-26,61,46,20000,0
Delhi,2023-01-26,178,31,15000,1
Chennai,2023-01-26,111,62,18000,0
Kolkata,2023-01-26,238,69,17000,1
Bengaluru,2023-01-26,121,39,19000,0
Hyderabad,2023-01-26,373,75,12000,1
Ahmedabad,2023-01-26,92,31,10000,0
Pune,2023-01-26,210,34,11000,0
Jaipur,2023-01-26,266,59,8000,0
Lucknow,2023-01-26,54,21,9000,0
Nagpur,2023-01-26,211,34,7500,0
Indore,2023-01-26,92,63,7000,0
Bhopal,2023-01-26,152,21,6500,0
Surat,2023-01-26,258,59,9500,0
Vadodara,2023-01-26,131,64,7800,0
Coimbatore,2023-01-26,78,58,8500,0
Kochi,2023-01-26,125,46,9200,0
Thiruvananthapuram,2023-01-26,37,69,8800,0
Visakhapatnam,2023-01-26,171,50,8000,0
Vijayawada,2023-01-26,80,54,7600,0
Guwahati,2023-01-26,139,57,6000,0
Patna,2023-01-26,144,45,8200,0
Ranchi,2023-01-26,132,31,5500,0
Bhubaneswar,2023-01-26,51,36,7000,0
Raipur,2023-01-26,85,46,6200,0
Chandigarh,2023-01-26,46,20,9800,0
Dehradun,2023-01-26,169,43,7200,0
Shimla,2023-01-26,200,76,5000,1
Srinagar,2023-01-26,127,50,6500,0
Jammu,2023-01-26,61,60,7800,0
Goa,2023-01-26,101,60,2500,0
Mangalore,2023-01-26,71,74,6800,1
Mysore,2023-01-26,136,31,7500,0
Pondicherry,2023-01-26,270,60,8000,0
Madurai,2023-01-26,109,53,7200,1
Mumbai,2023-01-27,51,59,20000,1
Delhi,2023-01-27,76,51,15000,0
Chennai,2023-01-27,233,63,18000,1
Kolkata,2023-01-27,142,57,17000,0
Bengaluru,2023-01-27,271,66,19000,1
Hyderabad,2023-01-27,137,28,12000,0
Ahmedabad,2023-01-27,89,20,10000,0
Pune,2023-01-27,88,28,11000,0
Jaipur,2023-01-27,206,20,8000,0
Lucknow,2023-01-27,90,68,9000,0
Nagpur,2023-01-27,60,46,7500,0
Indore,2023-01-27,149,59,7000,0
Bhopal,2023-01-27,174,46,6500,0
Surat,2023-01-27,146,73,9500,0
Vadodara,2023-01-27,236,40,7800,0
Coimbatore,2023-01-27,248,35,8500,1
Kochi,2023-01-27,108,48,9200,0
Thiruvananthapuram,2023-01-27,152,51,8800,0
Visakhapatnam,2023-01-27,75,49,8000,1
Vijayawada,2023-01-27,174,69,7600,0
Guwahati,2023-01-27,122,67,6000,0
Patna,2023-01-27,160,42,8200,0
Ranchi,2023-01-27,51,67,5500,0
Bhubaneswar,2023-01-27,124,39,7000,0
Raipur,2023-01-27,139,69,6200,0
Chandigarh,2023-01-27,147,70,9800,0
Dehradun,2023-01-27,66,74,7200,0
Shimla,2023-01-27,58,66,5000,0
Srinagar,2023-01-27,201,47,6500,0
Jammu,2023-01-27,210,65,7800,0
Goa,2023-01-27,103,53,2500,0
Mangalore,2023-01-27,148,65,6800,0
Mysore,2023-01-27,190,41,7500,0
Pondicherry,2023-01-27,123,72,8000,0
Madurai,2023-01-27,99,69,7200,0
Mumbai,2023-01-28,270,66,20000,0
Delhi,2023-01-28,220,73,15000,1
Chennai,2023-01-28,94,59,18000,1
Kolkata,2023-01-28,51,52,17000,1
Bengaluru,2023-01-28,63,23,19000,1
Hyderabad,2023-01-28,153,65,12000,1
Ahmedabad,2023-01-28,149,29,10000,0
Pune,2023-01-28,89,64,11000,0
Jaipur,2023-01-28,103,24,8000,0
Lucknow,2023-01-28,53,53,9000,0
Nagpur,2023-01-28,131,28,7500,0
Indore,2023-01-28,51,46,7000,0
Bhopal,2023-01-28,60,32,6500,0
Surat,2023-01-28,209,62,9500,0
Vadodara,2023-01-28,161,32,7800,0
Coimbatore,2023-01-28,171,25,8500,0
Kochi,2023-01-28,285,60,9200,0
Thiruvananthapuram,2023-01-28,108,58,8800,0
Visakhapatnam,2023-01-28,106,59,8000,0
Vijayawada,2023-01-28,141,44,7600,0
Guwahati,2023-01-28,109,72,6000,0
Patna,2023-01-28,369,73,8200,1
Ranchi,2023-01-28,180,52,5500,0
Bhubaneswar,2023-01-28,169,70,7000,0
Raipur,2023-01-28,137,46,6200,0
Chandigarh,2023-01-28,175,62,9800,0
Dehradun,2023-01-28,115,39,7200,0
Shimla,2023-01-28,219,46,5000,0
Srinagar,2023-01-28,90,36,6500,0
Jammu,2023-01-28,112,23,7800,0
Goa,2023-01-28,125,54,2500,0
Mangalore,2023-01-28,247,69,6800,0
Mysore,2023-01-28,73,63,7500,0
Pondicherry,2023-01-28,256,49,8000,0
Madurai,2023-01-28,29,38,7200,0
Mumbai,2023-01-29,238,52,20000,1
Delhi,2023-01-29,85,51,15000,0
Chennai,2023-01-29,240,67,18000,1
Kolkata,2023-01-29,233,54,17000,1
Bengaluru,2023-01-29,173,47,19000,1
Hyderabad,2023-01-29,243,42,12000,0
Ahmedabad,2023-01-29,198,26,10000,0
Pune,2023-01-29,222,67,11000,0
Jaipur,2023-01-29,120,60,8000,0
Lucknow,2023-01-29,93,42,9000,0
Nagpur,2023-01-29,66,50,7500,0
Indore,2023-01-29,191,48,7000,0
Bhopal,2023-01-29,154,41,6500,0
Surat,2023-01-29,209,54,9500,0
Vadodara,2023-01-29,119,41,7800,0
Coimbatore,2023-01-29,62,45,8500,0
Kochi,2023-01-29,91,47,9200,0
Thiruvananthapuram,2023-01-29,211,46,8800,0
Visakhapatnam,2023-01-29,42,62,8000,0
Vijayawada,2023-01-29,148,63,7600,0
Guwahati,2023-01-29,147,55,6000,0
Patna,2023-01-29,141,60,8200,0
Ranchi,2023-01-29,95,73,5500,0
Bhubaneswar,2023-01-29,266,41,7000,1
Raipur,2023-01-29,79,22,6200,0
Chandigarh,2023-01-29,197,38,9800,0
Dehradun,2023-01-29,97,60,7200,0
Shimla,2023-01-29,371,72,5000,1
Srinagar,2023-01-29,91,72,6500,0
Jammu,2023-01-29,208,42,7800,0
Goa,2023-01-29,146,53,2500,0
Mangalore,2023-01-29,217,66,6800,0
Mysore,2023-01-29,48,42,7500,0
Pondicherry,2023-01-29,174,44,8000,0
Madurai,2023-01-29,224,51,7200,0
Mumbai,2023-01-30,216,47,20000,1
Delhi,2023-01-30,85,27,15000,1
Chennai,2023-01-30,163,47,18000,1
Kolkata,2023-01-30,168,59,17000,0
Bengaluru,2023-01-30,201,30,19000,1
Hyderabad,2023-01-30,103,27,12000,0
Ahmedabad,2023-01-30,129,34,10000,0
Pune,2023-01-30,123,42,11000,0
Jaipur,2023-01-30,120,34,8000,0
Lucknow,2023-01-30,38,25,9000,0
Nagpur,2023-01-30,210,66,7500,0
Indore,2023-01-30,199,62,7000,0
Bhopal,2023-01-30,89,24,6500,0
Surat,2023-01-30,151,54,9500,0
Vadodara,2023-01-30,54,33,7800,0
Coimbatore,2023-01-30,241,44,8500,0
Kochi,2023-01-30,125,57,9200,0
Thiruvananthapuram,2023-01-30,308,71,8800,0
Visakhapatnam,2023-01-30,209,66,8000,0
Vijayawada,2023-01-30,92,59,7600,0
Guwahati,2023-01-30,230,54,6000,0
Patna,2023-01-30,76,69,8200,0
Ranchi,2023-01-30,156,66,5500,0
Bhubaneswar,2023-01-30,253,61,7000,0
Raipur,2023-01-30,144,39,6200,0
Chandigarh,2023-01-30,124,61,9800,0
Dehradun,2023-01-30,113,22,7200,0
Shimla,2023-01-30,103,47,5000,0
Srinagar,2023-01-30,149,56,6500,0
Jammu,2023-01-30,191,34,7800,0
Goa,2023-01-30,75,54,2500,0
Mangalore,2023-01-30,42,50,6800,0
Mysore,2023-01-30,186,45,7500,0
Pondicherry,2023-01-30,117,74,8000,1
Madurai,2023-01-30,80,70,7200,1
Mumbai,2023-01-31,65,48,20000,1
Delhi,2023-01-31,164,29,15000,0
Chennai,2023-01-31,125,65,18000,1
Kolkata,2023-01-31,62,48,17000,0
Bengaluru,2023-01-31,67,53,19000,1
Hyderabad,2023-01-31,161,72,12000,1
Ahmedabad,2023-01-31,154,49,10000,0
Pune,2023-01-31,126,53,11000,1
Jaipur,2023-01-31,145,51,8000,0
Lucknow,2023-01-31,180,61,9000,0
Nagpur,2023-01-31,85,37,7500,0
Indore,2023-01-31,78,57,7000,0
Bhopal,2023-01-31,64,57,6500,0
Surat,2023-01-31,195,58,9500,0
Vadodara,2023-01-31,192,40,7800,0
Coimbatore,2023-01-31,183,64,8500,0
Kochi,2023-01-31,265,77,9200,0
Thiruvananthapuram,2023-01-31,266,59,8800,0
Visakhapatnam,2023-01-31,134,59,8000,0
Vijayawada,2023-01-31,113,37,7600,0
Guwahati,2023-01-31,179,44,6000,0
Patna,2023-01-31,106,64,8200,0
Ranchi,2023-01-31,130,62,5500,0
Bhubaneswar,2023-01-31,57,63,7000,0
Raipur,2023-01-31,74,53,6200,0
Chandigarh,2023-01-31,145,58,9800,0
Dehradun,2023-01-31,36,58,7200,0
Shimla,2023-01-31,128,61,5000,0
Srinagar,2023-01-31,49,28,6500,0
Jammu,2023-01-31,171,31,7800,0
Goa,2023-01-31,197,61,2500,0
Mangalore,2023-01-31,211,56,6800,0
Mysore,2023-01-31,245,54,7500,0
Pondicherry,2023-01-31,214,42,8000,0
Madurai,2023-01-31,88,41,7200,0
Mumbai,2023-02-01,188,47,20000,1
Delhi,2023-02-01,195,53,15000,1
Chennai,2023-02-01,125,70,18000,1
Kolkata,2023-02-01,98,61,17000,0
Bengaluru,2023-02-01,155,30,19000,0
Hyderabad,2023-02-01,269,30,12000,1
Ahmedabad,2023-02-01,258,64,10000,0
Pune,2023-02-01,255,50,11000,1
Jaipur,2023-02-01,146,20,8000,0
Lucknow,2023-02-01,216,51,9000,0
Nagpur,2023-02-01,177,45,7500,0
Indore,2023-02-01,130,20,7000,0
Bhopal,2023-02-01,224,66,6500,0
Surat,2023-02-01,165,71,9500,0
Vadodara,2023-02-01,142,42,7800,0
Coimbatore,2023-02-01,34,48,8500,0
Kochi,2023-02-01,106,64,9200,0
Thiruvananthapuram,2023-02-01,60,75,8800,0
Visakhapatnam,2023-02-01,217,49,8000,0
Vijayawada,2023-02-01,64,27,7600,0
Guwahati,2023-02-01,176,64,6000,0
Patna,2023-02-01,151,69,8200,0
Ranchi,2023-02-01,128,65,5500,0
Bhubaneswar,2023-02-01,68,39,7000,0
Raipur,2023-02-01,74,20,6200,0
Chandigarh,2023-02-01,142,66,9800,0
Dehradun,2023-02-01,94,70,7200,0
Shimla,2023-02-01,217,43,5000,0
Srinagar,2023-02-01,38,67,6500,0
Jammu,2023-02-01,182,21,7800,0
Goa,2023-02-01,193,43,2500,0
Mangalore,2023-02-01,136,50,6800,0
Mysore,2023-02-01,155,52,7500,0
Pondicherry,2023-02-01,270,70,8000,1
Madurai,2023-02-01,55,60,7200,0
Mumbai,2023-02-02,117,44,20000,1
Delhi,2023-02-02,197,67,15000,0
Chennai,2023-02-02,62,62,18000,1
Kolkata,2023-02-02,225,50,17000,0
Bengaluru,2023-02-02,254,63,19000,0
Hyderabad,2023-02-02,112,66,12000,0
Ahmedabad,2023-02-02,79,22,10000,0
Pune,2023-02-02,247,77,11000,1
Jaipur,2023-02-02,270,20,8000,0
Lucknow,2023-02-02,196,66,9000,0
Nagpur,2023-02-02,133,58,7500,0
Indore,2023-02-02,104,36,7000,0
Bhopal,2023-02-02,148,67,6500,0
Surat,2023-02-02,166,59,9500,0
Vadodara,2023-02-02,145,49,7800,0
Coimbatore,2023-02-02,85,27,8500,0
Kochi,2023-02-02,241,61,9200,1
Thiruvananthapuram,2023-02-02,54,64,8800,0
Visakhapatnam,2023-02-02,160,71,8000,1
Vijayawada,2023-02-02,277,36,7600,0
Guwahati,2023-02-02,111,66,6000,0
Patna,2023-02-02,106,47,8200,0
Ranchi,2023-02-02,135,56,5500,0
Bhubaneswar,2023-02-02,79,72,7000,0
Raipur,2023-02-02,123,68,6200,0
Chandigarh,2023-02-02,189,62,9800,0
Dehradun,2023-02-02,199,32,7200,0
Shimla,2023-02-02,309,70,5000,1
Srinagar,2023-02-02,167,32,6500,0
Jammu,2023-02-02,174,43,7800,0
Goa,2023-02-02,111,49,2500,0
Mangalore,2023-02-02,77,50,6800,0
Mysore,2023-02-02,199,48,7500,0
Pondicherry,2023-02-02,41,52,8000,0
Madurai,2023-02-02,190,44,7200,1
Mumbai,2023-02-03,218,52,20000,0
Delhi,2023-02-03,102,34,15000,1
Chennai,2023-02-03,225,57,18000,1
Kolkata,2023-02-03,72,65,17000,0
Bengaluru,2023-02-03,206,54,19000,1
Hyderabad,2023-02-03,115,59,12000,0
Ahmedabad,2023-02-03,203,20,10000,0
Pune,2023-02-03,120,53,11000,0
Jaipur,2023-02-03,69,40,8000,0
Lucknow,2023-02-03,169,72,9000,0
Nagpur,2023-02-03,226,62,7500,0
Indore,2023-02-03,44,27,7000,0
Bhopal,2023-02-03,177,42,6500,0
Surat,2023-02-03,88,26,9500,0
Vadodara,2023-02-03,107,54,7800,0
Coimbatore,2023-02-03,214,41,8500,1
Kochi,2023-02-03,154,48,9200,0
Thiruvananthapuram,2023-02-03,118,55,8800,0
Visakhapatnam,2023-02-03,166,59,8000,0
Vijayawada,2023-02-03,149,66,7600,0
Guwahati,2023-02-03,152,48,6000,0
Patna,2023-02-03,295,35,8200,1
Ranchi,2023-02-03,86,37,5500,0
Bhubaneswar,2023-02-03,158,42,7000,0
Raipur,2023-02-03,193,31,6200,0
Chandigarh,2023-02-03,86,49,9800,0
Dehradun,2023-02-03,196,64,7200,0
Shimla,2023-02-03,218,67,5000,0
Srinagar,2023-02-03,171,39,6500,0
Jammu,2023-02-03,207,56,7800,0
Goa,2023-02-03,39,72,2500,0
Mangalore,2023-02-03,198,67,6800,0
Mysore,2023-02-03,172,30,7500,0
Pondicherry,2023-02-03,168,68,8000,0
Madurai,2023-02-03,272,51,7200,0
Mumbai,2023-02-04,138,52,20000,0
Delhi,2023-02-04,166,29,15000,0
Chennai,2023-02-04,205,71,18000,1
Kolkata,2023-02-04,303,43,17000,1
Bengaluru,2023-02-04,171,39,19000,1
Hyderabad,2023-02-04,25,20,12000,0
Ahmedabad,2023-02-04,146,59,10000,0
Pune,2023-02-04,54,30,11000,0
Jaipur,2023-02-04,156,22,8000,0
Lucknow,2023-02-04,203,59,9000,0
Nagpur,2023-02-04,43,48,7500,0
Indore,2023-02-04,102,55,7000,0
Bhopal,2023-02-04,170,71,6500,0
Surat,2023-02-04,67,38,9500,0
Vadodara,2023-02-04,173,44,7800,0
Coimbatore,2023-02-04,28,46,8500,0
Kochi,2023-02-04,197,60,9200,0
Thiruvananthapuram,2023-02-04,213,66,8800,0
Visakhapatnam,2023-02-04,67,58,8000,0
Vijayawada,2023-02-04,174,26,7600,0
Guwahati,2023-02-04,143,59,6000,0
Patna,2023-02-04,243,65,8200,0
Ranchi,2023-02-04,110,51,5500,0
Bhubaneswar,2023-02-04,34,64,7000,1
Raipur,2023-02-04,305,41,6200,0
Chandigarh,2023-02-04,90,63,9800,0
Dehradun,2023-02-04,176,37,7200,0
Shimla,2023-02-04,33,52,5000,0
Srinagar,2023-02-04,143,71,6500,1
Jammu,2023-02-04,262,35,7800,0
Goa,2023-02-04,115,47,2500,0
Mangalore,2023-02-04,157,49,6800,0
Mysore,2023-02-04,137,37,7500,0
Pondicherry,2023-02-04,223,70,8000,0
Madurai,2023-02-04,92,75,7200,0
Mumbai,2023-02-05,93,67,20000,1
Delhi,2023-02-05,205,69,15000,1
Chennai,2023-02-05,403,60,18000,1
Kolkata,2023-02-05,351,49,17000,1
Bengaluru,2023-02-05,50,31,19000,1
Hyderabad,2023-02-05,279,76,12000,1
Ahmedabad,2023-02-05,168,50,10000,0
Pune,2023-02-05,129,44,11000,0
Jaipur,2023-02-05,173,46,8000,0
Lucknow,2023-02-05,204,53,9000,0
Nagpur,2023-02-05,195,67,7500,0
Indore,2023-02-05,142,54,7000,0
Bhopal,2023-02-05,257,47,6500,0
Surat,2023-02-05,90,38,9500,0
Vadodara,2023-02-05,184,25,7800,0
Coimbatore,2023-02-05,147,61,8500,0
Kochi,2023-02-05,87,56,9200,0
Thiruvananthapuram,2023-02-05,218,69,8800,0
Visakhapatnam,2023-02-05,154,72,8000,0
Vijayawada,2023-02-05,258,46,7600,1
Guwahati,2023-02-05,199,71,6000,1
Patna,2023-02-05,139,50,8200,0
Ranchi,2023-02-05,98,60,5500,0
Bhubaneswar,2023-02-05,120,58,7000,0
Raipur,2023-02-05,177,60,6200,0
Chandigarh,2023-02-05,140,20,9800,0
Dehradun,2023-02-05,208,68,7200,0
Shimla,2023-02-05,62,46,5000,0
Srinagar,2023-02-05,131,32,6500,0
Jammu,2023-02-05,171,47,7800,0
Goa,2023-02-05,204,71,2500,0
Mangalore,2023-02-05,208,72,6800,0
Mysore,2023-02-05,99,37,7500,0
Pondicherry,2023-02-05,101,40,8000,0
Madurai,2023-02-05,60,49,7200,0
Mumbai,2023-02-06,56,48,20000,0
Delhi,2023-02-06,194,46,15000,0
Chennai,2023-02-06,60,64,18000,0
Kolkata,2023-02-06,181,58,17000,1
Bengaluru,2023-02-06,155,67,19000,0
Hyderabad,2023-02-06,241,53,12000,1
Ahmedabad,2023-02-06,97,43,10000,0
Pune,2023-02-06,90,43,11000,0
Jaipur,2023-02-06,138,39,8000,0
Lucknow,2023-02-06,158,48,9000,0
Nagpur,2023-02-06,95,40,7500,0
Indore,2023-02-06,192,66,7000,0
Bhopal,2023-02-06,107,64,6500,0
Surat,2023-02-06,80,59,9500,0
Vadodara,2023-02-06,271,43,7800,0
Coimbatore,2023-02-06,68,25,8500,0
Kochi,2023-02-06,85,54,9200,0
Thiruvananthapuram,2023-02-06,215,57,8800,0
Visakhapatnam,2023-02-06,219,61,8000,0
Vijayawada,2023-02-06,260,48,7600,0
Guwahati,2023-02-06,157,72,6000,1
Patna,2023-02-06,226,62,8200,0
Ranchi,2023-02-06,210,57,5500,0
Bhubaneswar,2023-02-06,156,57,7000,0
Raipur,2023-02-06,191,78,6200,0
Chandigarh,2023-02-06,199,36,9800,0
Dehradun,2023-02-06,180,41,7200,0
Shimla,2023-02-06,113,65,5000,0
Srinagar,2023-02-06,67,42,6500,0
Jammu,2023-02-06,195,55,7800,0
Goa,2023-02-06,228,69,2500,0
Mangalore,2023-02-06,163,46,6800,0
Mysore,2023-02-06,131,68,7500,0
Pondicherry,2023-02-06,221,73,8000,1
Madurai,2023-02-06,276,47,7200,0
Mumbai,2023-02-07,194,44,20000,0
Delhi,2023-02-07,236,25,15000,0
Chennai,2023-02-07,121,74,18000,1
Kolkata,2023-02-07,254,66,17000,1
Bengaluru,2023-02-07,323,51,19000,1
Hyderabad,2023-02-07,118,34,12000,1
Ahmedabad,2023-02-07,152,34,10000,0
Pune,2023-02-07,207,20,11000,0
Jaipur,2023-02-07,51,51,8000,0
Lucknow,2023-02-07,111,21,9000,0
Nagpur,2023-02-07,74,76,7500,0
Indore,2023-02-07,205,68,7000,0
Bhopal,2023-02-07,32,42,6500,0
Surat,2023-02-07,249,45,9500,0
Vadodara,2023-02-07,191,57,7800,0
Coimbatore,2023-02-07,68,40,8500,0
Kochi,2023-02-07,74,67,9200,0
Thiruvananthapuram,2023-02-07,108,52,8800,0
Visakhapatnam,2023-02-07,127,68,8000,1
Vijayawada,2023-02-07,150,61,7600,0
Guwahati,2023-02-07,187,75,6000,0
Patna,2023-02-07,30,49,8200,0
Ranchi,2023-02-07,260,51,5500,0
Bhubaneswar,2023-02-07,224,30,7000,1
Raipur,2023-02-07,153,30,6200,0
Chandigarh,2023-02-07,192,49,9800,0
Dehradun,2023-02-07,141,27,7200,0
Shimla,2023-02-07,243,24,5000,0
Srinagar,2023-02-07,158,51,6500,0
Jammu,2023-02-07,66,27,7800,0
Goa,2023-02-07,243,68,2500,0
Mangalore,2023-02-07,252,72,6800,1
Mysore,2023-02-07,285,50,7500,0
Pondicherry,2023-02-07,49,71,8000,1
